"IMD_QUINTILE","YEAR","Payment Category","Total (£)","PayCat_base","group_total","pct","label_text"
"1",2024,"Global_Sum Avg (Weighted)",109.081458340216,"Global_Sum Avg",157.374511203841,0.693132944501588,"69% (109.1)"
"1",2024,"IT_Premises Avg (Weighted)",16.4215387204322,"IT_Premises Avg",157.374511203841,0.104346876726194,"10% (16.4)"
"1",2024,"Other_And_PCOAdmin Avg (Weighted)",12.1122206405728,"Other_And_PCOAdmin Avg",157.374511203841,0.0769643098359447,"8% (12.1)"
"1",2024,"Directed_Enhanced_Services Avg (Weighted)",3.86395409198995,"Directed_Enhanced_Services Avg",157.374511203841,0.0245526042459641,"2% (3.9)"
"1",2024,"Local_Incentive_Schemes Avg (Weighted)",8.22068145312264,"Local_Incentive_Schemes Avg",157.374511203841,0.052236422469168,"5% (8.2)"
"1",2024,"Prescribing Avg (Weighted)",0.432837970023245,"Prescribing Avg",157.374511203841,0.0027503689556348,"0% (0.4)"
"1",2024,"Dispensing Avg (Weighted)",0.0498519687883004,"Dispensing Avg",157.374511203841,0.00031677282685078,"0% (0.0)"
"1",2024,"DrugReinbursement Avg (Weighted)",2.84846361454625,"DrugReinbursement Avg",157.374511203841,0.0180999044429548,"2% (2.8)"
"1",2024,"QOF Avg (Weighted)",13.7318302728287,"QOF Avg",157.374511203841,0.0872557453413939,"9% (13.7)"
"1",2024,"Deductions Avg (Weighted)",-11.8628731303894,"Deductions Avg",157.374511203841,-0.0753798886467953,"-8% (-11.9)"
"1",2024,"PCNPARTICIPATION Avg (Weighted)",1.7331069072778,"PCNPARTICIPATION Avg",157.374511203841,0.0110126277376199,"1% (1.7)"
"1",2024,"ACCESSANDTRANSFORMATION Avg (Weighted)",0.741440354432089,"ACCESSANDTRANSFORMATION Avg",157.374511203841,0.00471131156348267,"0% (0.7)"
"2",2024,"Global_Sum Avg (Weighted)",110.481077936565,"Global_Sum Avg",156.932418366977,0.704004176359609,"70% (110.5)"
"2",2024,"IT_Premises Avg (Weighted)",15.2532165517916,"IT_Premises Avg",156.932418366977,0.0971960842158371,"10% (15.3)"
"2",2024,"Other_And_PCOAdmin Avg (Weighted)",9.45077721277431,"Other_And_PCOAdmin Avg",156.932418366977,0.0602219561204636,"6% (9.5)"
"2",2024,"Directed_Enhanced_Services Avg (Weighted)",3.77273640439544,"Directed_Enhanced_Services Avg",156.932418366977,0.0240405165717457,"2% (3.8)"
"2",2024,"Local_Incentive_Schemes Avg (Weighted)",7.78285537874568,"Local_Incentive_Schemes Avg",156.932418366977,0.0495936751611509,"5% (7.8)"
"2",2024,"Prescribing Avg (Weighted)",0.395014936837229,"Prescribing Avg",156.932418366977,0.00251710220837553,"0% (0.4)"
"2",2024,"Dispensing Avg (Weighted)",0.679431978309736,"Dispensing Avg",156.932418366977,0.00432945585991625,"0% (0.7)"
"2",2024,"DrugReinbursement Avg (Weighted)",5.0468714782627,"DrugReinbursement Avg",156.932418366977,0.0321595214728732,"3% (5.0)"
"2",2024,"QOF Avg (Weighted)",13.8309374406821,"QOF Avg",156.932418366977,0.0881330803705533,"9% (13.8)"
"2",2024,"Deductions Avg (Weighted)",-12.1921241653241,"Deductions Avg",156.932418366977,-0.0776902840865776,"-8% (-12.2)"
"2",2024,"PCNPARTICIPATION Avg (Weighted)",1.74146028137877,"PCNPARTICIPATION Avg",156.932418366977,0.0110968804247092,"1% (1.7)"
"2",2024,"ACCESSANDTRANSFORMATION Avg (Weighted)",0.690162932558208,"ACCESSANDTRANSFORMATION Avg",156.932418366977,0.0043978353213439,"0% (0.7)"
"3",2024,"Global_Sum Avg (Weighted)",109.156649817085,"Global_Sum Avg",163.000923624559,0.669668903646864,"67% (109.2)"
"3",2024,"IT_Premises Avg (Weighted)",14.137506128639,"IT_Premises Avg",163.000923624559,0.0867326749706151,"9% (14.1)"
"3",2024,"Other_And_PCOAdmin Avg (Weighted)",9.95257835796303,"Other_And_PCOAdmin Avg",163.000923624559,0.0610584169503655,"6% (10.0)"
"3",2024,"Directed_Enhanced_Services Avg (Weighted)",4.13937107865131,"Directed_Enhanced_Services Avg",163.000923624559,0.0253947706958124,"3% (4.1)"
"3",2024,"Local_Incentive_Schemes Avg (Weighted)",8.82608341929275,"Local_Incentive_Schemes Avg",163.000923624559,0.0541474442170763,"5% (8.8)"
"3",2024,"Prescribing Avg (Weighted)",0.217337520688591,"Prescribing Avg",163.000923624559,0.00133335146731552,"0% (0.2)"
"3",2024,"Dispensing Avg (Weighted)",2.36503443694901,"Dispensing Avg",163.000923624559,0.0145093315078165,"1% (2.4)"
"3",2024,"DrugReinbursement Avg (Weighted)",10.3857957909138,"DrugReinbursement Avg",163.000923624559,0.0637161775526835,"6% (10.4)"
"3",2024,"QOF Avg (Weighted)",14.4967071218709,"QOF Avg",163.000923624559,0.0889363495587377,"9% (14.5)"
"3",2024,"Deductions Avg (Weighted)",-13.1060656161415,"Deductions Avg",163.000923624559,-0.0804048549217353,"-8% (-13.1)"
