"Patient_Bin","Payment_Category","Patient_Type","Avg_Payment","Group"
"0-4,999","Global_Sum","Registered",105.136712531916,"0-4,999 - Registered"
"0-4,999","IT_Premises","Registered",15.4483012058106,"0-4,999 - Registered"
"0-4,999","Other_And_PCOAdmin","Registered",7.32202974533008,"0-4,999 - Registered"
"0-4,999","Directed_Enhanced_Services","Registered",3.81556144194531,"0-4,999 - Registered"
"0-4,999","Local_Incentive_Schemes","Registered",9.31980175574845,"0-4,999 - Registered"
"0-4,999","Prescribing","Registered",-0.394487801964365,"0-4,999 - Registered"
"0-4,999","Dispensing","Registered",5.60464110971675,"0-4,999 - Registered"
"0-4,999","DrugReinbursement","Registered",17.8608518042288,"0-4,999 - Registered"
"0-4,999","QOF","Registered",12.4900170140953,"0-4,999 - Registered"
"0-4,999","Deductions","Registered",-10.8034733492337,"0-4,999 - Registered"
"0-4,999","PCNPARTICIPATION","Registered",1.75969752275736,"0-4,999 - Registered"
"0-4,999","ACCESSANDTRANSFORMATION","Registered",1.12169389652148,"0-4,999 - Registered"
"0-4,999","Global_Sum","Weighted",102.106406552204,"0-4,999 - Weighted"
"0-4,999","IT_Premises","Weighted",15.0030420913396,"0-4,999 - Weighted"
"0-4,999","Other_And_PCOAdmin","Weighted",7.11099032830279,"0-4,999 - Weighted"
"0-4,999","Directed_Enhanced_Services","Weighted",3.70558731040706,"0-4,999 - Weighted"
"0-4,999","Local_Incentive_Schemes","Weighted",9.05118149637331,"0-4,999 - Weighted"
"0-4,999","Prescribing","Weighted",-0.383117665725294,"0-4,999 - Weighted"
"0-4,999","Dispensing","Weighted",5.44310117699575,"0-4,999 - Weighted"
"0-4,999","DrugReinbursement","Weighted",17.3460568793954,"0-4,999 - Weighted"
"0-4,999","QOF","Weighted",12.1300231324811,"0-4,999 - Weighted"
"0-4,999","Deductions","Weighted",-10.4920899218519,"0-4,999 - Weighted"
"0-4,999","PCNPARTICIPATION","Weighted",1.70897858931081,"0-4,999 - Weighted"
"0-4,999","ACCESSANDTRANSFORMATION","Weighted",1.0893638412993,"0-4,999 - Weighted"
"10,000-14,999","Global_Sum","Registered",101.521963020799,"10,000-14,999 - Registered"
"10,000-14,999","IT_Premises","Registered",14.9163711195644,"10,000-14,999 - Registered"
"10,000-14,999","Other_And_PCOAdmin","Registered",9.74904708578551,"10,000-14,999 - Registered"
"10,000-14,999","Directed_Enhanced_Services","Registered",3.84507641269748,"10,000-14,999 - Registered"
"10,000-14,999","Local_Incentive_Schemes","Registered",8.90939367137728,"10,000-14,999 - Registered"
"10,000-14,999","Prescribing","Registered",0.309384043521353,"10,000-14,999 - Registered"
"10,000-14,999","Dispensing","Registered",1.98657746001608,"10,000-14,999 - Registered"
"10,000-14,999","DrugReinbursement","Registered",9.59288854971043,"10,000-14,999 - Registered"
"10,000-14,999","QOF","Registered",12.8631953685977,"10,000-14,999 - Registered"
"10,000-14,999","Deductions","Registered",-14.1479088504133,"10,000-14,999 - Registered"
"10,000-14,999","PCNPARTICIPATION","Registered",1.73142970619782,"10,000-14,999 - Registered"
"10,000-14,999","ACCESSANDTRANSFORMATION","Registered",1.09917960711405,"10,000-14,999 - Registered"
"10,000-14,999","Global_Sum","Weighted",101.288239210121,"10,000-14,999 - Weighted"
"10,000-14,999","IT_Premises","Weighted",14.8820306576996,"10,000-14,999 - Weighted"
"10,000-14,999","Other_And_PCOAdmin","Weighted",9.72660283463459,"10,000-14,999 - Weighted"
"10,000-14,999","Directed_Enhanced_Services","Weighted",3.8362242797719,"10,000-14,999 - Weighted"
"10,000-14,999","Local_Incentive_Schemes","Weighted",8.88888246988207,"10,000-14,999 - Weighted"
"10,000-14,999","Prescribing","Weighted",0.308671779736618,"10,000-14,999 - Weighted"
"10,000-14,999","Dispensing","Weighted",1.98200396241667,"10,000-14,999 - Weighted"
"10,000-14,999","DrugReinbursement","Weighted",9.57080380666037,"10,000-14,999 - Weighted"
"10,000-14,999","QOF","Weighted",12.8335817268832,"10,000-14,999 - Weighted"
"10,000-14,999","Deductions","Weighted",-14.1153375419864,"10,000-14,999 - Weighted"
"10,000-14,999","PCNPARTICIPATION","Weighted",1.72744360962509,"10,000-14,999 - Weighted"
"10,000-14,999","ACCESSANDTRANSFORMATION","Weighted",1.09664907639193,"10,000-14,999 - Weighted"
"15,000-19,999","Global_Sum","Registered",99.8767678229375,"15,000-19,999 - Registered"
"15,000-19,999","IT_Premises","Registered",14.7404360764894,"15,000-19,999 - Registered"
"15,000-19,999","Other_And_PCOAdmin","Registered",10.7141022418959,"15,000-19,999 - Registered"
"15,000-19,999","Directed_Enhanced_Services","Registered",3.76920233201879,"15,000-19,999 - Registered"
"15,000-19,999","Local_Incentive_Schemes","Registered",8.77373639209533,"15,000-19,999 - Registered"
"15,000-19,999","Prescribing","Registered",0.256006611152938,"15,000-19,999 - Registered"
"15,000-19,999","Dispensing","Registered",1.98994533888399,"15,000-19,999 - Registered"
"15,000-19,999","DrugReinbursement","Registered",9.80185924819939,"15,000-19,999 - Registered"
"15,000-19,999","QOF","Registered",12.693724669138,"15,000-19,999 - Registered"
"15,000-19,999","Deductions","Registered",-14.2940553684059,"15,000-19,999 - Registered"
"15,000-19,999","PCNPARTICIPATION","Registered",1.69542069456536,"15,000-19,999 - Registered"
"15,000-19,999","ACCESSANDTRANSFORMATION","Registered",1.04035787928991,"15,000-19,999 - Registered"
"15,000-19,999","Global_Sum","Weighted",101.333921781219,"15,000-19,999 - Weighted"
"15,000-19,999","IT_Premises","Weighted",14.9554919422712,"15,000-19,999 - Weighted"
"15,000-19,999","Other_And_PCOAdmin","Weighted",10.8704158354523,"15,000-19,999 - Weighted"
"15,000-19,999","Directed_Enhanced_Services","Weighted",3.82419317941385,"15,000-19,999 - Weighted"
"15,000-19,999","Local_Incentive_Schemes","Weighted",8.90174098206485,"15,000-19,999 - Weighted"
"15,000-19,999","Prescribing","Weighted",0.259741624358902,"15,000-19,999 - Weighted"
"15,000-19,999","Dispensing","Weighted",2.01897768334731,"15,000-19,999 - Weighted"
"15,000-19,999","DrugReinbursement","Weighted",9.94486365566428,"15,000-19,999 - Weighted"
"15,000-19,999","QOF","Weighted",12.8789200008467,"15,000-19,999 - Weighted"
"15,000-19,999","Deductions","Weighted",-14.5025987545604,"15,000-19,999 - Weighted"
"15,000-19,999","PCNPARTICIPATION","Weighted",1.72015606626278,"15,000-19,999 - Weighted"
"15,000-19,999","ACCESSANDTRANSFORMATION","Weighted",1.05553619988318,"15,000-19,999 - Weighted"
"20,000+","Global_Sum","Registered",97.7702185206078,"20,000+ - Registered"
"20,000+","IT_Premises","Registered",13.9598664498022,"20,000+ - Registered"
"20,000+","Other_And_PCOAdmin","Registered",11.4091663611572,"20,000+ - Registered"
"20,000+","Directed_Enhanced_Services","Registered",3.49141848894075,"20,000+ - Registered"
"20,000+","Local_Incentive_Schemes","Registered",8.06378167934484,"20,000+ - Registered"
"20,000+","Prescribing","Registered",0.268361451553955,"20,000+ - Registered"
"20,000+","Dispensing","Registered",1.52133543860565,"20,000+ - Registered"
"20,000+","DrugReinbursement","Registered",7.96629066302552,"20,000+ - Registered"
"20,000+","QOF","Registered",12.0109480904429,"20,000+ - Registered"
"20,000+","Deductions","Registered",-12.6679510643836,"20,000+ - Registered"
"20,000+","PCNPARTICIPATION","Registered",1.64495247956397,"20,000+ - Registered"
"20,000+","ACCESSANDTRANSFORMATION","Registered",0.757621775314533,"20,000+ - Registered"
"20,000+","Global_Sum","Weighted",101.121163036642,"20,000+ - Weighted"
"20,000+","IT_Premises","Weighted",14.4383223500995,"20,000+ - Weighted"
"20,000+","Other_And_PCOAdmin","Weighted",11.8002004002433,"20,000+ - Weighted"
"20,000+","Directed_Enhanced_Services","Weighted",3.61108222515537,"20,000+ - Weighted"
"20,000+","Local_Incentive_Schemes","Weighted",8.34015709719461,"20,000+ - Weighted"
"20,000+","Prescribing","Weighted",0.277559184237862,"20,000+ - Weighted"
"20,000+","Dispensing","Weighted",1.57347719222124,"20,000+ - Weighted"
"20,000+","DrugReinbursement","Weighted",8.23932470564426,"20,000+ - Weighted"
"20,000+","QOF","Weighted",12.4226073998425,"20,000+ - Weighted"
"20,000+","Deductions","Weighted",-13.1021282789885,"20,000+ - Weighted"
"20,000+","PCNPARTICIPATION","Weighted",1.70133104324049,"20,000+ - Weighted"
"20,000+","ACCESSANDTRANSFORMATION","Weighted",0.783588256433557,"20,000+ - Weighted"
"5,000-9,999","Global_Sum","Registered",103.300796382753,"5,000-9,999 - Registered"
"5,000-9,999","IT_Premises","Registered",14.4895999052015,"5,000-9,999 - Registered"
"5,000-9,999","Other_And_PCOAdmin","Registered",8.67758679394475,"5,000-9,999 - Registered"
"5,000-9,999","Directed_Enhanced_Services","Registered",3.80554301722929,"5,000-9,999 - Registered"
"5,000-9,999","Local_Incentive_Schemes","Registered",9.16716154689445,"5,000-9,999 - Registered"
"5,000-9,999","Prescribing","Registered",-0.0395479133590257,"5,000-9,999 - Registered"
"5,000-9,999","Dispensing","Registered",3.82288887765542,"5,000-9,999 - Registered"
"5,000-9,999","DrugReinbursement","Registered",14.2059719920115,"5,000-9,999 - Registered"
"5,000-9,999","QOF","Registered",12.6553403881793,"5,000-9,999 - Registered"
"5,000-9,999","Deductions","Registered",-13.5337132293521,"5,000-9,999 - Registered"
"5,000-9,999","PCNPARTICIPATION","Registered",1.75189839766569,"5,000-9,999 - Registered"
"5,000-9,999","ACCESSANDTRANSFORMATION","Registered",1.01567940514148,"5,000-9,999 - Registered"
"5,000-9,999","Global_Sum","Weighted",101.097081664201,"5,000-9,999 - Weighted"
"5,000-9,999","IT_Premises","Weighted",14.1804934346307,"5,000-9,999 - Weighted"
"5,000-9,999","Other_And_PCOAdmin","Weighted",8.49246793321036,"5,000-9,999 - Weighted"
"5,000-9,999","Directed_Enhanced_Services","Weighted",3.72435941116997,"5,000-9,999 - Weighted"
"5,000-9,999","Local_Incentive_Schemes","Weighted",8.97159859350361,"5,000-9,999 - Weighted"
"5,000-9,999","Prescribing","Weighted",-0.0387042381715238,"5,000-9,999 - Weighted"
"5,000-9,999","Dispensing","Weighted",3.7413352325522,"5,000-9,999 - Weighted"
"5,000-9,999","DrugReinbursement","Weighted",13.9029161524985,"5,000-9,999 - Weighted"
"5,000-9,999","QOF","Weighted",12.3853641550979,"5,000-9,999 - Weighted"
"5,000-9,999","Deductions","Weighted",-13.2449986784044,"5,000-9,999 - Weighted"
"5,000-9,999","PCNPARTICIPATION","Weighted",1.7145251690021,"5,000-9,999 - Weighted"
"5,000-9,999","ACCESSANDTRANSFORMATION","Weighted",0.994011927902026,"5,000-9,999 - Weighted"
