"Registered Bin","Weighted Bin","Count_Registered_Practices","Count_Weighted_Practices"
"100-109","110-119",1,1
"100-109","120-129",5,5
"100-109","130-139",3,3
"100-109","140-149",2,2
"100-109","160-169",1,1
"110-119","110-119",2,2
"110-119","120-129",1,1
"110-119","130-139",23,23
"110-119","140-149",12,12
"110-119","150-159",3,3
"110-119","160-169",4,4
"110-119","170-179",1,1
"120-129","110-119",1,1
"120-129","120-129",9,9
"120-129","130-139",43,43
"120-129","140-149",88,88
"120-129","150-159",38,38
"120-129","160-169",16,16
"120-129","170-179",3,3
"120-129","180-189",1,1
"130-139","120-129",3,3
"130-139","130-139",44,44
"130-139","140-149",179,179
"130-139","150-159",132,132
"130-139","160-169",36,36
"130-139","170-179",6,6
"130-139","180-189",1,1
"130-139","190-199",1,1
"130-139","210-219",1,1
"140-149","120-129",1,1
"140-149","130-139",37,37
"140-149","140-149",169,169
"140-149","150-159",299,299
"140-149","160-169",162,162
"140-149","170-179",38,38
"140-149","180-189",10,10
"140-149","190-199",2,2
"140-149","220-229",1,1
"150-159","130-139",10,10
"150-159","140-149",123,123
"150-159","150-159",323,323
"150-159","160-169",330,330
"150-159","170-179",100,100
"150-159","180-189",23,23
"150-159","190-199",8,8
"150-159","200-209",3,3
"160-169","120-129",1,1
"160-169","130-139",8,8
"160-169","140-149",56,56
"160-169","150-159",235,235
"160-169","160-169",328,328
"160-169","170-179",204,204
"160-169","180-189",60,60
"160-169","190-199",11,11
"160-169","200-209",3,3
"160-169","210-219",2,2
"160-169","230-239",1,1
"170-179","140-149",16,16
"170-179","150-159",136,136
"170-179","160-169",242,242
"170-179","170-179",219,219
"170-179","180-189",100,100
"170-179","190-199",41,41
"170-179","200-209",7,7
"170-179","210-219",2,2
"180-189","140-149",9,9
"180-189","150-159",66,66
"180-189","160-169",163,163
"180-189","170-179",169,169
"180-189","180-189",110,110
"180-189","190-199",60,60
"180-189","200-209",14,14
"180-189","210-219",5,5
"180-189","220-229",1,1
"190-199","140-149",2,2
"190-199","150-159",17,17
"190-199","160-169",63,63
"190-199","170-179",100,100
"190-199","180-189",83,83
"190-199","190-199",61,61
"190-199","200-209",28,28
"190-199","210-219",11,11
"190-199","220-229",2,2
"190-199","260-269",1,1
"200-209","150-159",3,3
"200-209","160-169",22,22
"200-209","170-179",54,54
"200-209","180-189",49,49
"200-209","190-199",49,49
