"YEAR","Payment Category","Total (£)","PayCat_base"
2024,"Global_Sum",6895902414.07,"Global_Sum"
2024,"IT_Premises",927124669.13,"IT_Premises"
2024,"COVID_19",62300962.55,"COVID_19"
2024,"Other_And_PCOAdmin",632335069.87,"Other_And_PCOAdmin"
2024,"Directed_Enhanced_Services",263332738.85,"Directed_Enhanced_Services"
2024,"ACCESSANDTRANSFORMATION",50286293.17,"ACCESSANDTRANSFORMATION"
2024,"Local_Incentive_Schemes",567982619.43,"Local_Incentive_Schemes"
2024,"Prescribing",6181808.37,"Prescribing"
2024,"Dispensing",172345859.01,"Dispensing"
2024,"DrugReinbursement",716018417.86,"DrugReinbursement"
2024,"QOF",914072122.19,"QOF"
2024,"Deductions",-855114627.5,"Deductions"
2024,"PCNPARTICIPATION",110086049.51,"PCNPARTICIPATION"
2024,"REGISTERED",63159594.75,"REGISTERED"
2024,"WEIGHTED",63247547.8,"WEIGHTED"
2024,"Global_Sum Avg (Registered)",109.182182712944,"Global_Sum Avg"
2024,"Global_Sum Avg (Weighted)",109.030352226083,"Global_Sum Avg"
2024,"IT_Premises Avg (Registered)",14.6790788129621,"IT_Premises Avg"
2024,"IT_Premises Avg (Weighted)",14.6586658515478,"IT_Premises Avg"
2024,"Other_And_PCOAdmin Avg (Registered)",10.0117024558648,"Other_And_PCOAdmin Avg"
2024,"Other_And_PCOAdmin Avg (Weighted)",9.99778002254816,"Other_And_PCOAdmin Avg"
2024,"Directed_Enhanced_Services Avg (Registered)",4.16932280665084,"Directed_Enhanced_Services Avg"
2024,"Directed_Enhanced_Services Avg (Weighted)",4.16352487977407,"Directed_Enhanced_Services Avg"
2024,"Local_Incentive_Schemes Avg (Registered)",8.99281608246861,"Local_Incentive_Schemes Avg"
2024,"Local_Incentive_Schemes Avg (Weighted)",8.98031052881389,"Local_Incentive_Schemes Avg"
2024,"Prescribing Avg (Registered)",0.0978759980089961,"Prescribing Avg"
2024,"Prescribing Avg (Weighted)",0.0977398900831377,"Prescribing Avg"
2024,"Dispensing Avg (Registered)",2.72873598527958,"Dispensing Avg"
2024,"Dispensing Avg (Weighted)",2.724941361442,"Dispensing Avg"
2024,"DrugReinbursement Avg (Registered)",11.336653135508,"DrugReinbursement Avg"
2024,"DrugReinbursement Avg (Weighted)",11.3208882046175,"DrugReinbursement Avg"
2024,"QOF Avg (Registered)",14.4724190490472,"QOF Avg"
2024,"QOF Avg (Weighted)",14.4522934720008,"QOF Avg"
2024,"Deductions Avg (Registered)",-13.5389505091782,"Deductions Avg"
2024,"Deductions Avg (Weighted)",-13.5201230283904,"Deductions Avg"
2024,"PCNPARTICIPATION Avg (Registered)",1.74298220160762,"PCNPARTICIPATION Avg"
2024,"PCNPARTICIPATION Avg (Weighted)",1.74055838272358,"PCNPARTICIPATION Avg"
2024,"ACCESSANDTRANSFORMATION Avg (Registered)",0.796178211228944,"ACCESSANDTRANSFORMATION Avg"
2024,"ACCESSANDTRANSFORMATION Avg (Weighted)",0.795071033093871,"ACCESSANDTRANSFORMATION Avg"
2024,"COVID_19 Avg (Registered)",0.986405356091997,"COVID_19 Avg"
2024,"COVID_19 Avg (Weighted)",0.985033645051453,"COVID_19 Avg"
